"gdp_2020","geofips"
"20893746000",0
"226896484",1000
"1772023",1001
"8484931",1003
"776199",1005
"478834",1007
"1021170",1009
"284810",1011
"647413",1013
"4574641",1015
"942787",1017
"546385",1019
"1149121",1021
"536431",1023
"866503",1025
"476508",1027
"275488",1029
"1441230",1031
"2655877",1033
"348670",1035
"214381",1037
"1216484",1039
"406090",1041
"2956986",1043
"2810732",1045
"1214484",1047
"2009996",1049
"2021557",1051
"1229689",1053
"3012955",1055
"353657",1057
"1011620",1059
"548776",1061
"214279",1063
"280827",1065
"450468",1067
"5679042",1069
"1519302",1071
"45706740",1073
"353580",1075
"2750580",1077
"628064",1079
"6641371",1081
"4070535",1083
"398354",1085
"567829",1087
"26797345",1089
"789716",1091
"909256",1093
"3705357",1095
"20261510",1097
"655932",1099
"14335741",1101
"5899076",1103
"203002",1105
"445854",1107
"1376723",1109
"465272",1111
"1531316",1113
"2171410",1115
"12303432",1117
"317740",1119
"3115269",1121
"1444357",1123
"10629994",1125
"1839288",1127
"862311",1129
"413804",1131
"875379",1133
"49819958",2000
"225306",2013
"419660",2016
"22762803",2020
"744762",2050
"127653",2060
"1798855",2063
"140908",2066
"233182",2068
"257423",2070
"5950242",2090
"104001",2100
"90157",2105
"2520190",2110
"2672102",2122
"893042",2130
"809311",2150
"170444",2158
"88191",2164
"3060879",2170
"462871",2180
"3561768",2185
"643244",2188
"183562",2195
"258812",2198
"(NA)",2201
"468091",2220
"70271",2230
"(NA)",2232
"661218",2240
"(NA)",2261
"93205",2275
"(NA)",2280
"36447",2282
"311359",2290
"373718984",4000
"2539579",4001
"5224460",4003
"7548517",4005
"1781969",4007
"1197378",4009
"1471514",4011
"788622",4012
"271078798",4013
"6036445",4015
"2994446",4017
"45170394",4019
"9926039",4021
"2037328",4023
"7804778",4025
"8118717",4027
"130750716",5000
"1103386",5001
"719094",5003
"1461722",5005
"16120299",5007
"1343238",5009
"345057",5011
"359320",5013
"902395",5015
"278483",5017
"810158",5019
"352839",5021
"638642",5023
"97500",5025
"845673",5027
"667523",5029
"5057960",5031
"1832548",5033
"1794218",5035
"473453",5037
"233154",5039
"536194",5041
"600407",5043
"3865234",5045
"449694",5047
"195475",5049
"3513952",5051
"462757",5053
"1505390",5055
"979910",5057
"1005232",5059
"579017",5061
"1737958",5063
"271304",5065
"672689",5067
"3106355",5069
"677197",5071
"127511",5073
"481430",5075
"169675",5077
"231921",5079
"483049",5081
"445778",5083
"1424427",5085
"378704",5087
"504791",5089
"1359083",5091
"2533112",5093
"211904",5095
"145482",5097
"227491",5099
"109136",5101
"626111",5103
"144861",5105
"556088",5107
"241064",5109
"612676",5111
"519793",5113
"3000065",5115
"217282",5117
"30018440",5119
"520906",5121
"766955",5123
"2665345",5125
"253332",5127
"185816",5129
"6849356",5131
"441423",5133
"310594",5135
"231608",5137
"2498460",5139
"367296",5141
"12175479",5143
"2296205",5145
"238797",5147
"583842",5149
"3007187685",6000
"139313240",6001
"112415",6003
"1848108",6005
"9461454",6007
"1579783",6009
"1629003",6011
"77484753",6013
"943173",6015
"8294970",6017
"45932182",6019
"1349202",6021
"5877389",6023
"8566860",6025
"1362365",6027
"45185758",6029
"6857784",6031
"2213607",6033
"1257511",6035
"747523558",6037
"6544075",6039
"31516100",6041
"822575",6043
"3786796",6045
"9635342",6047
"440344",6049
"1073767",6051
"27120792",6053
"11239687",6055
"4562074",6057
"259513508",6059
"24529112",6061
"1079902",6063
"93250990",6065
"96667833",6067
"2535609",6069
"97049499",6071
"240411072",6073
"201547346",6075
"32517528",6077
"18010542",6079
"138474105",6081
"29697904",6083
"357975788",6085
"15844973",6087
"8698893",6089
"97334",6091
"1836670",6093
"27618325",6095
"31247324",6097
"24203279",6099
"3840213",6101
"2297948",6103
"443245",6105
"18980160",6107
"2600257",6109
"53218972",6111
"15919993",6113
"3544698",6115
"382584657",8000
"29137249",8001
"765052",8003
"49628815",8005
"547344",8007
"183328",8009
"147235",8011
"29682206",8013
